Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
223,Lonnie Shelton,PF,23,SEA,76,,28.4,5.9,11.3,0.519,,,,5.9,11.3,0.519,0.519,1.7,2.5,0.693,2.4,3.8,6.2,1.4,1,1,2.5,3.5,13.5
224,Steve Sheppard,SF,24,TOT,42,,6.6,0.9,1.8,0.474,,,,0.9,1.8,0.474,0.474,0.5,0.8,0.588,0.6,0.5,1.1,0.5,0.2,0,0.6,0.6,2.2
224,Steve Sheppard,SF,24,CHI,22,,9.2,1.1,2.3,0.471,,,,1.1,2.3,0.471,0.471,0.5,0.9,0.632,0.7,0.5,1.3,0.7,0.2,0,1,0.7,2.7
224,Steve Sheppard,SF,24,DET,20,,3.8,0.6,1.3,0.48,,,,0.6,1.3,0.48,0.48,0.4,0.8,0.533,0.5,0.5,1,0.2,0.2,0.1,0.2,0.5,1.6
225,Purvis Short,PF,21,GSW,75,,22.7,4.9,10.3,0.479,,,,4.9,10.3,0.479,0.479,0.8,1.1,0.671,1.7,2.9,4.6,1.3,0.7,0.2,1.5,3.1,10.6
226,Jack Sikma*,C,23,SEA,82,,36.1,5.8,12.6,0.46,,,,5.8,12.6,0.46,0.46,4,4.9,0.814,2.8,9.5,12.4,3.2,1,0.8,3.1,3.6,15.6
227,James Silas,PG,29,SAS,79,,27.5,5.9,11.7,0.505,,,,5.9,11.7,0.505,0.505,4.2,5.1,0.831,0.4,1.9,2.3,3.5,1,0.3,2.5,2.7,16
228,Paul Silas,PF,35,SEA,82,,23.9,2.1,4.9,0.423,,,,2.1,4.9,0.423,0.423,1.4,2.4,0.598,3.2,3.9,7,1.4,0.4,0.2,1.2,2.2,5.6
229,Ralph Simpson,SG,29,TOT,69,,14.2,2.5,6.3,0.402,,,,2.5,6.3,0.402,0.402,1.1,1.6,0.685,0.5,0.9,1.4,1.8,0.5,0.1,1.4,0.8,6.1
229,Ralph Simpson,SG,29,PHI,37,,12.2,2.4,5.3,0.444,,,,2.4,5.3,0.444,0.444,0.8,1.1,0.7,0.4,0.5,0.9,1.6,0.7,0,1.3,0.7,5.5
